,ticker,date,time,title
0,OIL,Sep-30-22,01:30PM,Odds & Ends: More iPath ETNs Resume Creations
1,OIL,Sep-20-22,03:13PM,Best Oil ETFs for Q4 2022
2,OIL,Jul-28-22,10:45AM,Untangling Barclays ETN Mess
3,OIL,Apr-28-22,10:30AM,Barclays Suspends Sales For 30 iPath ETNs
4,OIL,Apr-05-22,08:51AM,Permex Petroleum Corporation Reports Successful Production from Second Recompleted Well on New Mexico Property
5,OIL,Mar-29-22,11:00AM,Best Performing Commodity ETFs Of The Year
6,OIL,Mar-28-22,04:00PM,Permex Petroleum Corporation Announces Closing of USD $7.5 Million Brokered Private Placement
7,OIL,Mar-28-22,12:45PM,"Why Barclays Suspended 'OIL,' 'VXX' Creations"
8,OIL,Mar-18-22,03:00PM,ETF Odds & Ends: Avantis Debuts ESG ETFs
9,OIL,Mar-15-22,04:06PM,"Investors are looking for ways to combat inflation through ETFs, strategist says"
10,OIL,Mar-14-22,02:15PM,"Barclays Suspends OIL, VXX Creations"
11,OIL,Apr-28-21,06:00AM,Trump tax cut allowed Duke Energy to reduce costs for customers by over a billion dollars: Lynn Good
12,OIL,Jan-29-21,07:30AM,Barclays Announces Reduced Investor Fee for iPath® Pure Beta Crude Oil ETNs (Ticker: OIL)
13,OIL,May-06-20,02:03PM,"Oil expert: With so many barrels being taken offline, ""these are the seeds of a mini boom"""
14,OIL,Apr-30-20,02:25PM,Have Insiders Been Buying Permex Petroleum Corporation (CSE:OIL) Shares?
15,OIL,Apr-28-20,02:01PM,This Goldman Sachs-backed startup tracks world's oil glut from space
16,OIL,Apr-27-20,03:46PM,"Oil drops 25%, extending weeks of losses"
17,OIL,Apr-24-20,02:39PM,"Trump admin is overlooking ""hard cash crunch"" facing states: Expert"
18,OIL,Apr-24-20,02:38PM,Strategist details which companies to invest in amid coronavirus
19,OIL,Apr-24-20,02:13PM,Oil prices on track for third straight weekly loss
20,OIL,Apr-23-20,04:06PM,API CEO: Were not interested in any government bailouts
21,OIL,Apr-23-20,03:51PM,Veteran oil expert: were going to see pain in the oil market
